Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,Labor will get more young people into work and keep them there by giving them real skills and real opportunities through the Working Futures program.,Commissive-A,4#24#25,Labor,Specific,
2,"Each year Labor will support 20,000 people aged between 15 and 24 through a comprehensive work and training program that sets them on the right path to ongoing quality jobs.",Commissive-A,1#3,Labor,Specific,
3,It will offer real training for real jobs.,Commissive-O,,Labor,,
4,"This is in stark contrast to the Liberals exploitative Youth PaTH program, which subsidises employers to place jobseekers on internships without sufficient protections.",Assertive-V,16,Liberal,,
5,<LIST> As part of the program job seekers will take part in :,Assertive,6#7#8,Labor,,1.0
6,"<li> A six-week work readiness course focusing on essential employment skills as well as personal presentation, interview techniques and job hunting. </li> ",Commissive-A,2,Labor,Vague,
7,"<li> A six-month work placement with an employer, paid at an award-equivalent training wage. </li> ",Commissive-A,2,Labor,Specific,
8,<li> A fully-funded Certificate III in a subject of their choice. </li> </LIST>,Commissive-A,2,Labor,Specific,
9,As a priority the program will focus on young people who have been unemployed for more than a year and have no post-school qualifications.,Commissive-A,2,Labor,Specific,
10,"We want to get more young people into work, giving them the skills they need to get a job and keep it.",Assertive,9#11,Labor,,
11,Providing comprehensive support to these jobseekers will over time lower the number of long-term unemployed young people in Australia.,Assertive,14,Labor,,
12,"This is in addition to Labors announcements that it will bridge the skills gap by creating 10,000 new Apprentice Ready places, ensure a funding guarantee for TAFE, and invest in our universities",Assertive-S,11,Labor,,1.0
13,"rather than imposing $100,000 degrees, which is what the Liberals would like to do.",Assertive-V,12#16,Liberal,,
14,"The programs participants will receive fair pay for their work, which will not only justly compensate them for their work but it will also protect wage standards across the workforce, ",Commissive-A,9,Labor,Specific,1.0
15,instead of undercutting wages as the Liberals plan will do.,Assertive-V,14#16,Liberal,,
16,The Liberals Youth PaTH to nowhere program is drastically inferior to Labors Working Futures.,Assertive-V,,Liberal,,
17,The Abbott-Turnbull Governments program does not create additional jobs.,Assertive-V,16,Liberal,,
18,"Instead, it subsidises employers to place jobseekers on internships without sufficient protections.",Assertive-V,16#19,Liberal,,
19,It is exploitative.,Assertive-V,,Liberal,,
20,Malcolm Turnbull is promising a 4-week supermarket internship.,Assertive-S,16#21,Liberal,,
21,Labor is promising a 6-month work placement with accredited training.,Commissive-A,9,Labor,Specific,
22,The youth unemployment rate remains double the national average at 12.4 per cent.,Assertive,24,Other,,
23,"There are 262,000 young Australians who are out of work, and 40,000 who are considered long term unemployed.",Assertive,24,Other,,
24,"Working Futures will give those young people the best chance to get into and keep a real, decent job.",Assertive-V,25,Labor,,
25,This plan has been costed by the independent Parliamentary Budget Office.,Assertive-V,26,Labor,,
26,The cost of the program is fully offset by reductions in other wage subsidy and employment programs  the same reductions the Government has identified in the 2016 Budget.,Assertive,,Labor,,
